BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cultivar_s	genotype_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN03081840	SRX710895	992	686	SRR1586619	SRS709640	GSM1514409	B73_TIL01	F1 cross	ear tissue from cross B73_TIL01, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081844	SRX710896	931	641	SRR1586620	SRS709641	GSM1514410	B73_TIL01	F1 cross	ear tissue from cross B73_TIL01, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081837	SRX710894	740	511	SRR1586618	SRS709642	GSM1514408	B73_TIL01	F1 cross	ear tissue from cross B73_TIL01, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081846	SRX710897	724	487	SRR1586621	SRS709643	GSM1514411	B73_TIL01	F1 cross	ear tissue from cross B73_TIL01, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081847	SRX710898	790	544	SRR1586622	SRS709644	GSM1514412	B73_TIL03	F1 cross	ear tissue from cross B73_TIL03, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081849	SRX710900	1068	741	SRR1586624	SRS709645	GSM1514414	B73_TIL03	F1 cross	ear tissue from cross B73_TIL03, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081848	SRX710899	1011	699	SRR1586623	SRS709646	GSM1514413	B73_TIL03	F1 cross	ear tissue from cross B73_TIL03, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081850	SRX710901	826	561	SRR1586625	SRS709647	GSM1514415	B73_TIL03	F1 cross	ear tissue from cross B73_TIL03, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081851	SRX710902	947	646	SRR1586626	SRS709648	GSM1514416	B73_TIL05	F1 cross	ear tissue from cross B73_TIL05, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081852	SRX710903	1029	739	SRR1586627	SRS709649	GSM1514417	B73_TIL05	F1 cross	ear tissue from cross B73_TIL05, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081853	SRX710904	947	652	SRR1586628	SRS709650	GSM1514418	B73_TIL05	F1 cross	ear tissue from cross B73_TIL05, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081854	SRX710905	729	491	SRR1586629	SRS709651	GSM1514419	B73_TIL05	F1 cross	ear tissue from cross B73_TIL05, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081855	SRX710906	632	475	SRR1586630	SRS709652	GSM1514420	B73_TIL09	F1 cross	ear tissue from cross B73_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
